months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_relationship,capital-gains,capital-loss,incident_date,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,incident_type_Multi-vehicle Collision,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_?,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,policy_year
328,48,521585,2014-10-17,OH,1000,1406.91,0,466132,MALE,MD,husband,53300,0,2015-01-25,1,SC,5,1,YES,1,2,YES,71610,6510,13020,52080,2004,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2014
228,42,342868,2006-06-27,IN,2000,1197.22,5000000,468176,MALE,MD,other-relative,0,0,2015-01-21,1,VA,8,1,?,0,0,?,5070,780,780,3510,2007,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2006
134,29,687698,2000-09-06,OH,2000,1413.14,5000000,430632,FEMALE,PhD,own-child,35100,0,2015-02-22,1,NY,7,3,NO,2,3,NO,34650,7700,3850,23100,2007,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000
256,41,227811,1990-05-25,IL,2000,1415.74,6000000,608117,FEMALE,PhD,unmarried,48900,-62400,2015-01-10,1,OH,5,1,?,1,2,NO,63400,6340,6340,50720,2014,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1990
228,44,367455,2014-06-06,IL,1000,1583.91,6000000,610706,MALE,Associate,unmarried,66000,-46000,2015-02-17,0,NY,20,1,NO,0,1,NO,6500,1300,650,4550,2009,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2014
256,39,104594,2006-10-12,OH,1000,1351.1,0,478456,FEMALE,PhD,unmarried,0,0,2015-01-02,1,SC,19,3,NO,0,2,NO,64100,6410,6410,51280,2003,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2006
137,34,413978,2000-06-04,IN,1000,1333.35,0,441716,MALE,PhD,husband,0,-77000,2015-01-13,1,NY,0,3,?,0,0,?,78650,21450,7150,50050,2012,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2000
165,37,429027,1990-02-03,IL,1000,1137.03,0,603195,MALE,Associate,unmarried,0,0,2015-02-27,1,VA,23,3,?,2,2,YES,51590,9380,9380,32830,2015,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990
27,33,485665,1997-02-05,IL,500,1442.99,0,601734,FEMALE,PhD,own-child,0,0,2015-01-30,1,WV,21,1,NO,1,1,YES,27700,2770,2770,22160,2012,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1997
212,42,636550,2011-07-25,IL,500,1315.68,0,600983,MALE,PhD,wife,0,-39300,2015-01-05,1,NC,14,1,NO,2,1,?,42300,4700,4700,32900,1996,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2011
235,42,543610,2002-05-26,OH,500,1253.12,4000000,462283,FEMALE,Masters,other-relative,38400,0,2015-01-06,1,NY,22,1,YES,2,2,?,87010,7910,15820,63280,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2002
447,61,214618,1999-05-29,OH,2000,1137.16,0,615561,FEMALE,High School,other-relative,0,-51000,2015-02-15,1,SC,21,3,YES,1,2,YES,114920,17680,17680,79560,2006,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1999
60,23,842643,1997-11-20,OH,500,1215.36,3000000,432220,MALE,MD,wife,0,0,2015-01-22,1,SC,9,1,YES,1,0,NO,56520,4710,9420,42390,2000,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1997
121,34,626808,2012-10-26,OH,1000,936.61,0,464652,FEMALE,MD,wife,52800,-32800,2015-01-08,0,SC,5,1,NO,1,1,NO,7280,1120,1120,5040,2010,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2012
180,38,644081,1998-12-28,OH,2000,1301.13,0,476685,FEMALE,College,not-in-family,41300,-55500,2015-01-15,1,SC,12,1,NO,0,2,YES,46200,4200,8400,33600,2003,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1998
473,58,892874,1992-10-19,IN,2000,1131.4,0,458733,FEMALE,MD,other-relative,55700,0,2015-01-29,1,WV,12,4,YES,0,0,NO,63120,10520,10520,42080,1999,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1992
70,26,558938,2005-06-08,OH,1000,1199.44,5000000,619884,MALE,College,own-child,63600,0,2015-02-22,1,NY,0,3,?,1,2,YES,52110,5790,5790,40530,2012,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2005
140,31,275265,2004-11-15,IN,500,708.64,6000000,470610,MALE,High School,unmarried,53500,0,2015-01-06,1,WV,9,1,NO,0,2,YES,77880,14160,7080,56640,2015,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2004
160,37,921202,2014-12-28,OH,500,1374.22,0,472135,FEMALE,MD,other-relative,45500,-37800,2015-01-19,1,NY,19,1,YES,1,0,NO,72930,6630,13260,53040,2015,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2014
196,39,143972,1992-08-02,IN,2000,1475.73,0,477670,FEMALE,High School,own-child,57000,-27300,2015-02-22,1,VA,8,3,?,2,0,NO,60400,6040,6040,48320,2014,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1992
460,62,183430,2002-06-25,IN,1000,1187.96,4000000,618845,MALE,JD,own-child,0,0,2015-01-01,1,NY,20,3,NO,1,0,?,47160,0,5240,41920,2011,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002
217,41,431876,2005-11-27,IL,2000,875.15,0,442479,FEMALE,Associate,own-child,46700,0,2015-02-10,1,SC,15,3,?,1,2,?,37840,0,4730,33110,1996,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2005
